"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1303",824,1414,14,19,6,11,29,1,13,8,769,156,0,562,5,12,80,13,4,4,136,1,10,1,121,8,12,22,4,"naive CD4 T"
"1304",61,5,183,4,2,1,0,1,0,0,356,0,1,220,0,1,10,2,0,0,23,0,2,0,11,0,15,0,1,"CD8 T"
"1305",935,1340,8,10,12,21,8,3,6,5,430,320,0,27,117,5,18,10,2,7,6,2,14,8,179,3,6,17,5,"mem CD4 T"
"1306",251,4,396,216,8,8,2,1,14,7,881,11,0,103,17,3,2,14,0,6,54,2,8,1,26,2,5,11,2,"CD8 T"
"1307",26,216,34,1873,427,46,2,16,19,16,9,68,0,24,72,10,33,33,9,210,6,7,24,6,11,12,23,221,10,"CD14 Mono"
"1308",18,241,17,1814,667,21,0,13,33,10,11,22,0,21,59,5,4,17,2,206,8,2,7,8,11,1,4,1099,2,"CD14 Mono"
"1309",1057,1263,9,11,9,12,1,3,8,5,637,102,1,629,4,2,77,11,5,3,47,2,17,5,47,2,13,19,2,"naive CD4 T"
"1310",1085,7,758,12,9,5,1,7,20,7,494,206,0,31,113,5,1,44,3,2,122,2,7,11,63,6,86,26,12,"CD8 T"
"1311",379,803,3,8,9,16,1,0,9,2,784,160,1,18,64,2,42,6,1,2,67,4,9,5,55,1,8,7,7,"mem CD4 T"
"1312",412,802,1,5,9,12,1,2,7,3,507,76,0,377,4,7,25,8,0,3,37,6,20,3,34,2,7,10,0,"naive CD4 T"
"1313",588,932,7,9,17,5,4,3,6,4,445,139,0,220,10,3,4,1,0,1,5,3,11,4,57,3,2,16,1,"naive CD4 T"
"1314",13,164,14,2167,693,24,2,5,11,8,2,25,0,36,83,2,34,30,4,345,7,4,13,11,1,2,10,928,8,"CD14 Mono"
"1315",7,1,5,118,5,8,413,3,7,7,1,11,0,453,8,125,2,20,2,2,1,1,4,3,23,4,4,12,24,"NK"
"1316",11,125,5,1953,698,14,3,4,4,6,5,14,0,12,89,6,49,33,0,105,6,3,3,0,8,4,6,308,2,"CD14 Mono"
"1317",675,1304,3,5,13,5,3,3,7,15,144,139,0,19,68,3,4,9,1,4,85,2,10,0,23,4,2,17,4,"mem CD4 T"
"1318",762,1168,5,5,13,13,5,1,8,21,513,116,0,203,13,5,19,10,1,9,37,1,11,3,40,3,6,21,0,"naive CD4 T"
"1319",17,266,11,2199,523,13,2,7,8,7,5,18,0,43,65,5,37,13,0,169,3,3,13,6,2,7,3,363,3,"CD14 Mono"
"1320",939,1300,12,19,13,24,5,509,530,78,585,534,0,1414,365,4,138,21,6,9,5,6,17,6,390,8,12,519,6,"B"
"1321",751,1396,6,11,19,10,8,9,25,3,699,173,1,703,7,7,165,9,1,4,78,3,20,7,87,4,9,19,2,"naive CD4 T"
"1322",7,5,0,10,7,2,2,113,323,5,1,12,1,674,1,3,5,14,0,0,1,1,4,4,8,1,2,596,0,"B"
"1323",30,472,11,4127,2138,30,13,14,21,12,14,34,0,59,172,10,24,25,4,369,8,5,21,10,19,17,19,2297,13,"CD14 Mono"
"1324",10,68,6,3581,672,14,2,1,10,7,4,13,0,23,114,1,30,65,1,100,2,3,8,7,9,3,7,104,5,"CD14 Mono"
"1325",397,773,3,8,20,7,2,1,8,11,171,69,0,8,86,4,4,5,2,2,47,3,6,1,14,3,7,7,3,"mem CD4 T"
"1326",784,1655,468,125,148,586,73,215,644,276,471,878,0,296,422,189,114,603,81,136,230,113,297,114,234,133,426,446,281,"CD14 Mono"
"1327",33,192,10,377,273,11,2,2,9,3,4,11,0,663,4,5,133,23,4,256,4,2,15,4,10,6,7,757,3,"CD14 Mono"
"1328",513,1030,4,10,8,8,1,2,5,31,111,205,0,4,200,4,2,17,4,8,114,4,5,0,32,4,10,13,0,"mem CD4 T"
"1329",468,2,387,11,6,7,1,1,6,3,363,188,0,208,11,2,3,10,0,3,24,2,7,2,36,5,37,77,0,"CD8 T"
"1330",19,12,12,46,10,16,4,955,518,37,141,20,1,1350,6,5,23,37,6,13,6,0,17,7,3,10,7,900,3,"B"
"1331",940,1324,8,13,15,13,4,2,3,9,673,113,0,205,11,4,15,2,0,0,26,9,13,1,66,7,7,15,3,"naive CD4 T"
"1332",13,14,9,458,8,14,272,3,9,4,6,17,1,2030,1,205,2,10,4,6,3,2,13,1,15,99,2,17,4,"NK"
"1333",17,82,10,2222,714,17,4,4,3,8,4,12,0,11,51,4,22,16,1,185,9,2,9,6,7,2,3,311,4,"CD14 Mono"
"1334",293,673,1,2,2,2,0,0,0,4,238,57,0,29,18,2,39,3,2,2,16,0,4,1,26,6,0,8,4,"naive CD4 T"
"1335",20,198,3,145,74,7,0,3,12,8,4,15,0,19,37,1,85,8,0,131,5,3,11,7,4,4,0,1732,1,"DC"
"1336",192,796,6,3,3,6,0,6,4,11,3,206,0,5,110,3,0,8,0,3,42,0,4,3,16,1,4,13,2,"mem CD4 T"
"1337",17,265,14,5519,1014,16,6,8,23,10,9,16,0,35,212,6,50,52,4,267,10,7,22,10,12,8,3,416,6,"CD14 Mono"
